key,document_id,transform_number,L01,L02,L04,L05,S01,S02,S03,S06,S08,R01,M01,D04,D05,C01,C02,F04,F05,F06,F01,R06,R07,P01
t10:human_science_spbgu_0024,human_science_spbgu_0024,10,154.3059842118666,0.8544379232505643,0.6951092611862643,0.6506183745583038,10.832535885167465,0.854775548767222,12,5.238095238095238,0.20476190476190476,0.854775548767222,0.08870888209978524,3.091872791519435,1.325088339222615,58.88951205832866,50.43859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.010964912280701733
t10:human_science_urfu_0028,human_science_urfu_0028,10,93.12525377754639,0.8111294922989162,0.55396370582617,0.7665260196905767,19.320652173913043,0.6335127567289582,15,0.5434782608695652,0.21739130434782608,0.6335127567289582,0.10329821177063844,6.469760900140647,0.0,23.481068388611682,14.771460423634336,0.0,0.0,0.0,0.5574136008918618,0.0,0.0,0.0016722408026755842
t10:human_seo_alaev_0004,human_seo_alaev_0004,10,140.63994861782095,0.8516754232340923,0.6850068775790922,0.5856980703745743,13.65891472868217,0.62942960322296,10,10.077519379844961,0.07751937984496124,0.62942960322296,0.08883874143214374,4.540295119182747,7.377979568671964,7.675438596491228,9.868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.023574561403508776
t10:human_seo_convertmonster_0001,human_seo_convertmonster_0001,10,81.7222956092576,0.7984615384615384,0.6891891891891891,0.6525,12.121212121212121,0.5188151314533915,9,18.181818181818183,0.18181818181818182,0.5188151314533915,0.15739432285811653,7.5,0.0,8.741258741258742,41.95804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.2972027972027972
t10:human_seo_devaka_ru_0004,human_seo_devaka_ru_0004,10,161.26039456155243,0.8696901408450705,0.6657824933687002,0.6100131752305665,11.5,0.6760189343019032,11,15.151515151515152,0.13636363636363635,0.6760189343019032,0.09879486206403772,5.270092226613966,5.270092226613966,14.423076923076923,85.33653846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.10096153846153844
t10:human_seo_drmax_0002,human_seo_drmax_0002,10,106.39026213473937,0.8227762430939227,0.6378466557911908,0.6279225116900468,11.6953125,0.6295670312341447,11,25.78125,0.0703125,0.6295670312341447,0.08387927348949294,4.008016032064128,8.016032064128256,21.072796934865902,21.711366538952745,0.0,0.0,0.0,0.0,0.0,0.0,0.03703703703703709
t10:human_seo_drmax_su_0001,human_seo_drmax_su_0001,10,80.81492735786155,0.7964035964035965,0.6283185840707964,0.6533333333333333,9.722222222222221,0.8023958022446599,16,12.037037037037036,0.07407407407407407,0.8023958022446599,0.11449494944520751,1.9047619047619047,3.8095238095238093,5.692599620493358,43.64326375711575,0.0,0.0,0.0,0.0,0.0,0.0,0.005692599620493399
t10:human_seo_labrika_0002,human_seo_labrika_0002,10,104.50090271446714,0.8293865628042842,0.6328293736501079,0.7221189591078067,11.955555555555556,0.6513951538600045,11,4.444444444444445,0.18888888888888888,0.6513951538600045,0.10469193995696222,5.5762081784386615,1.858736059479554,35.483870967741936,17.741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.10322580645161294
t10:nemotron_b012_P1_r1,nemotron_b012_P1_r1,10,256.5950073695276,0.8863146997929606,0.6721915285451197,0.6561576354679803,10.913978494623656,0.6624673230936219,10,5.05050505050505,0.08080808080808081,0.6624673230936219,0.08259972210913819,5.911330049261084,0.9852216748768473,26.841448189762797,44.9438202247191,0.0,0.0,0.0,27.465667915106117,6.242197253433208,3.745318352059925,0.36329588014981273
t10:nemotron_b015_P3_r2,nemotron_b015_P3_r2,10,185.78392111223872,0.8790350877192982,0.7346938775510204,0.6971904266389178,12.0125,0.5576483323195708,10,32.5,0.1375,0.5576483323195708,0.08095451954152577,6.243496357960458,0.0,38.25136612021858,15.786278081360047,0.0,0.0,0.0,2.428658166363084,0.0,3.035822707953855,0.42258652094717664
t10:nemotron_b016_P1_r1,nemotron_b016_P1_r1,10,176.94461255697695,0.8850778210116732,0.6666666666666666,0.6945218198700093,7.861313868613139,0.698468245653502,10,10.714285714285714,0.05,0.698468245653502,0.07519075353483543,4.642525533890437,11.142061281337048,21.93548387096774,35.483870967741936,0.0,0.0,0.0,38.70967741935484,3.225806451612903,3.225806451612903,0.29419354838709677
t10:nemotron_b022_P3_r2,nemotron_b022_P3_r2,10,200.9497362906833,0.8773830155979203,0.6985172981878089,0.7373233582709892,11.242990654205608,0.695626437196494,9,3.7383177570093458,0.037383177570093455,0.695626437196494,0.0764297760408819,9.14380714879468,0.0,18.136850783182194,23.083264633140974,0.0,0.0,0.0,14.83924154987634,0.0,0.0,0.0
t10:nemotron_b028_P1_r2,nemotron_b028_P1_r2,10,207.93146760066816,0.8864326738991704,0.6555407209612817,0.6955445544554455,9.853658536585366,0.6878690240437246,11,20.71005917159763,0.1301775147928994,0.6878690240437246,0.07637886015016229,5.569306930693069,6.188118811881188,16.87979539641944,47.05882352941177,0.0,0.0,0.0,24.040920716112534,3.069053708439898,4.092071611253197,0.16163682864450124
t10:nemotron_b033_P2_r2,nemotron_b033_P2_r2,10,328.00615384615384,0.9218705035971222,0.8050847457627118,0.7155963302752294,10.548387096774194,0.6498500929354596,8,0.0,0.0,0.6498500929354596,0.07296462660918389,3.058103975535168,9.174311926605505,21.904761904761905,33.33333333333333,0.0,0.0,0.0,32.38095238095238,0.0,9.523809523809524,0.6923809523809523
t10:nemotron_b038_P1_r2,nemotron_b038_P1_r2,10,215.62003290699118,0.8864574532287266,0.66375,0.7198124267291911,10.27710843373494,0.5958487422916926,9,11.11111111111111,0.05847953216374269,0.5958487422916926,0.06917853339749307,10.550996483001173,0.5861664712778429,19.51219512195122,25.853658536585364,0.0,0.0,0.0,32.19512195121951,2.4390243902439024,0.975609756097561,0.14439024390243904
