document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
gpt_b021_P3_r2,15,A,analytics,3,-0.0007685944,0.000000,0.000000,0.0019414203
gpt_b021_P3_r2,16,A,analytics,3,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b026_P1_r1,1,A,analytics,4,-0.0000349103,0.000000,0.000000,0.0001087676
gpt_b026_P1_r1,2,A,analytics,4,-0.0090337220,0.000000,0.000000,0.0195673737
gpt_b026_P1_r1,3,A,analytics,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b026_P1_r1,4,A,analytics,4,-0.0015731102,0.000000,0.000000,0.0052621342
gpt_b026_P1_r1,5,A,analytics,4,-0.0000277101,0.000000,0.000000,0.0000863409
gpt_b026_P1_r1,10,A,analytics,4,-0.0033057788,0.000000,0.000000,0.0095887192
gpt_b026_P1_r1,11,A,analytics,4,-0.9908272044,1.000000,1.000000,0.9998820985
gpt_b026_P1_r1,13,A,analytics,4,-0.0015710671,0.000000,0.000000,0.0045638347
gpt_b026_P1_r1,15,A,analytics,4,0.0008977646,0.000000,0.000000,0.0028882157
gpt_b026_P1_r1,16,A,analytics,4,0.0000000000,0.000000,0.000000,0.0000000000
gpt_b028_P2_r1,1,A,analytics,4,-0.0000005932,0.000000,0.000000,0.0000019152
gpt_b028_P2_r1,2,A,analytics,4,-0.0051108243,0.000000,0.000000,0.0134427392
gpt_b028_P2_r1,3,A,analytics,4,-0.0102577095,0.000000,0.000000,0.0293690717
gpt_b028_P2_r1,4,A,analytics,4,-0.0002593000,0.000000,0.000000,0.0006567589
gpt_b028_P2_r1,5,A,analytics,4,0.0000828101,0.000000,0.000000,0.0002619177
gpt_b028_P2_r1,10,A,analytics,4,-0.1517125477,1.000000,0.000000,0.2081340899
gpt_b028_P2_r1,11,A,analytics,4,-0.9943027608,1.000000,1.000000,0.9999521166
gpt_b028_P2_r1,13,A,analytics,4,-0.0007477856,0.000000,0.000000,0.0023004495
gpt_b028_P2_r1,15,A,analytics,4,0.0003256907,0.000000,0.000000,0.0010990689
gpt_b028_P2_r1,16,A,analytics,4,-0.1716978260,1.000000,0.000000,0.3653315598
gpt_b031_P1_r1,1,A,commercial,3,0.0000097106,0.000000,0.000000,0.0000270360
gpt_b031_P1_r1,2,A,commercial,3,0.0000000191,0.000000,0.000000,0.0000000531
gpt_b031_P1_r1,3,A,commercial,3,-0.0117213456,0.000000,0.000000,0.0305902037
gpt_b031_P1_r1,4,A,commercial,3,-0.0005448004,0.000000,0.000000,0.0015124265
gpt_b031_P1_r1,5,A,commercial,3,-0.0004816571,0.000000,0.000000,0.0013133260
gpt_b031_P1_r1,10,A,commercial,3,-0.0162692930,0.000000,0.000000,0.0412310093
gpt_b031_P1_r1,11,A,commercial,3,-0.9958257335,1.000000,1.000000,0.9999374177
gpt_b031_P1_r1,13,A,commercial,3,-0.0002123526,0.000000,0.000000,0.0005767465
