document_id,feature_id,genre_percentile
deepseek_pro_b002_P2_r1,L05,0.6294
deepseek_pro_b002_P2_r1,L06,0.4873
deepseek_pro_b002_P2_r1,L07,0.7563
deepseek_pro_b002_P2_r1,L08,0.8206
deepseek_pro_b002_P2_r1,L09,0.3452
deepseek_pro_b002_P2_r1,M01,0.3993
deepseek_pro_b002_P2_r1,M02,0.1844
deepseek_pro_b002_P2_r1,M05,0.2555
deepseek_pro_b002_P2_r1,P01,0.5550
deepseek_pro_b002_P2_r1,R01,0.3672
deepseek_pro_b002_P2_r1,R02,0.3790
deepseek_pro_b002_P2_r1,R03,0.3858
deepseek_pro_b002_P2_r1,R04,0.2183
deepseek_pro_b002_P2_r1,R05,0.5685
deepseek_pro_b002_P2_r1,R06,0.6734
deepseek_pro_b002_P2_r1,R07,0.6430
deepseek_pro_b002_P2_r1,S01,0.4755
deepseek_pro_b002_P2_r1,S02,0.3672
deepseek_pro_b002_P2_r1,S03,0.6565
deepseek_pro_b002_P2_r1,S04,0.0541
deepseek_pro_b002_P2_r1,S05,0.7716
deepseek_pro_b002_P2_r1,S06,0.0931
deepseek_pro_b002_P2_r1,S07,0.9086
deepseek_pro_b002_P2_r1,S08,0.7208
deepseek_pro_b002_P2_r1,S09,0.6768
deepseek_pro_b002_P2_r1,S10,0.0000
deepseek_pro_b002_P2_r1,X01,0.0000
deepseek_pro_b002_P2_r1,X02,0.6605
deepseek_pro_b002_P2_r1,X05,0.0389
deepseek_pro_b002_P2_r2,C01,0.0508
deepseek_pro_b002_P2_r2,C02,0.3029
deepseek_pro_b002_P2_r2,C03,0.0000
deepseek_pro_b002_P2_r2,C05,0.7343
deepseek_pro_b002_P2_r2,C06,0.0000
deepseek_pro_b002_P2_r2,D04,0.2470
deepseek_pro_b002_P2_r2,D05,0.4890
deepseek_pro_b002_P2_r2,F01,0.7597
deepseek_pro_b002_P2_r2,F02,0.4839
deepseek_pro_b002_P2_r2,F03,0.4298
deepseek_pro_b002_P2_r2,F04,0.0000
deepseek_pro_b002_P2_r2,F05,0.0000
deepseek_pro_b002_P2_r2,F06,0.9442
deepseek_pro_b002_P2_r2,F07,0.0000
deepseek_pro_b002_P2_r2,F08,0.5417
deepseek_pro_b002_P2_r2,L01,0.6887
deepseek_pro_b002_P2_r2,L02,0.8325
deepseek_pro_b002_P2_r2,L03,0.4755
deepseek_pro_b002_P2_r2,L04,0.7157
deepseek_pro_b002_P2_r2,L05,0.3350
deepseek_pro_b002_P2_r2,L06,0.7343
deepseek_pro_b002_P2_r2,L07,0.9459
deepseek_pro_b002_P2_r2,L08,0.6007
deepseek_pro_b002_P2_r2,L09,0.6768
deepseek_pro_b002_P2_r2,M01,0.3367
deepseek_pro_b002_P2_r2,M02,0.6870
deepseek_pro_b002_P2_r2,M05,0.3316
deepseek_pro_b002_P2_r2,P01,0.7783
deepseek_pro_b002_P2_r2,R01,0.1354
deepseek_pro_b002_P2_r2,R02,0.7360
deepseek_pro_b002_P2_r2,R03,0.8714
deepseek_pro_b002_P2_r2,R04,0.3756
deepseek_pro_b002_P2_r2,R05,0.9340
deepseek_pro_b002_P2_r2,R06,0.6311
deepseek_pro_b002_P2_r2,R07,0.6971
deepseek_pro_b002_P2_r2,S01,0.4975
deepseek_pro_b002_P2_r2,S02,0.1354
deepseek_pro_b002_P2_r2,S03,0.1134
deepseek_pro_b002_P2_r2,S04,0.4839
deepseek_pro_b002_P2_r2,S05,0.7360
deepseek_pro_b002_P2_r2,S06,0.1794
deepseek_pro_b002_P2_r2,S07,0.7936
deepseek_pro_b002_P2_r2,S08,0.3723
deepseek_pro_b002_P2_r2,S09,0.1929
deepseek_pro_b002_P2_r2,S10,0.0000
deepseek_pro_b002_P2_r2,X01,0.0000
deepseek_pro_b002_P2_r2,X02,0.6605
deepseek_pro_b002_P2_r2,X05,0.2000
deepseek_pro_b002_P3_r1,C01,0.3621
deepseek_pro_b002_P3_r1,C02,0.4365
deepseek_pro_b002_P3_r1,C03,0.0000
deepseek_pro_b002_P3_r1,C05,0.8409
deepseek_pro_b002_P3_r1,C06,0.0000
deepseek_pro_b002_P3_r1,D04,0.7242
deepseek_pro_b002_P3_r1,D05,0.0000
deepseek_pro_b002_P3_r1,F01,0.0000
deepseek_pro_b002_P3_r1,F02,0.8308
deepseek_pro_b002_P3_r1,F03,0.4061
deepseek_pro_b002_P3_r1,F04,0.0000
deepseek_pro_b002_P3_r1,F05,0.0000
deepseek_pro_b002_P3_r1,F06,0.0000
deepseek_pro_b002_P3_r1,F07,0.0000
deepseek_pro_b002_P3_r1,F08,0.9806
deepseek_pro_b002_P3_r1,L01,0.4179
deepseek_pro_b002_P3_r1,L02,0.4636
deepseek_pro_b002_P3_r1,L03,0.3672
deepseek_pro_b002_P3_r1,L04,0.6870
deepseek_pro_b002_P3_r1,L05,0.5347
deepseek_pro_b002_P3_r1,L06,0.1286
deepseek_pro_b002_P3_r1,L07,0.6853
deepseek_pro_b002_P3_r1,L08,0.8190
deepseek_pro_b002_P3_r1,L09,0.6074
deepseek_pro_b002_P3_r1,M01,0.5990
deepseek_pro_b002_P3_r1,M02,0.3232
deepseek_pro_b002_P3_r1,M05,0.3553
deepseek_pro_b002_P3_r1,P01,0.0000
deepseek_pro_b002_P3_r1,R01,0.1658
deepseek_pro_b002_P3_r1,R02,0.1878
deepseek_pro_b002_P3_r1,R03,0.2352
deepseek_pro_b002_P3_r1,R04,0.4585
deepseek_pro_b002_P3_r1,R05,0.7648
deepseek_pro_b002_P3_r1,R06,0.0000
deepseek_pro_b002_P3_r1,R07,0.0000
deepseek_pro_b002_P3_r1,S01,0.7293
deepseek_pro_b002_P3_r1,S02,0.1658
deepseek_pro_b002_P3_r1,S03,0.6565
deepseek_pro_b002_P3_r1,S04,0.2200
deepseek_pro_b002_P3_r1,S05,0.5821
deepseek_pro_b002_P3_r1,S06,0.1168
deepseek_pro_b002_P3_r1,S07,0.7986
deepseek_pro_b002_P3_r1,S08,0.7411
deepseek_pro_b002_P3_r1,S09,0.5381
deepseek_pro_b002_P3_r1,S10,0.0000
deepseek_pro_b002_P3_r1,X01,0.0000
deepseek_pro_b002_P3_r1,X02,0.0000
deepseek_pro_b002_P3_r1,X05,0.0667
deepseek_pro_b002_P3_r2,C01,0.1624
deepseek_pro_b002_P3_r2,C02,0.5178
deepseek_pro_b002_P3_r2,C03,0.0000
deepseek_pro_b002_P3_r2,C05,0.6582
deepseek_pro_b002_P3_r2,C06,0.3147
deepseek_pro_b002_P3_r2,D04,0.6074
deepseek_pro_b002_P3_r2,D05,0.0000
deepseek_pro_b002_P3_r2,F01,0.0000
deepseek_pro_b002_P3_r2,F02,0.9577
deepseek_pro_b002_P3_r2,F03,0.2910
deepseek_pro_b002_P3_r2,F04,0.0000
deepseek_pro_b002_P3_r2,F05,0.0000
deepseek_pro_b002_P3_r2,F06,0.0000
deepseek_pro_b002_P3_r2,F07,0.0000
deepseek_pro_b002_P3_r2,F08,0.3583
deepseek_pro_b002_P3_r2,L01,0.5956
deepseek_pro_b002_P3_r2,L02,0.7022
deepseek_pro_b002_P3_r2,L03,0.5093
deepseek_pro_b002_P3_r2,L04,0.4585
deepseek_pro_b002_P3_r2,L05,0.4112
deepseek_pro_b002_P3_r2,L06,0.4535
deepseek_pro_b002_P3_r2,L07,0.4129
deepseek_pro_b002_P3_r2,L08,0.0812
deepseek_pro_b002_P3_r2,L09,0.8934
deepseek_pro_b002_P3_r2,M01,0.1557
deepseek_pro_b002_P3_r2,M02,0.1946
deepseek_pro_b002_P3_r2,M05,0.4636
deepseek_pro_b002_P3_r2,P01,0.6058
deepseek_pro_b002_P3_r2,R01,0.0423
