n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,inner_folds_total,inner_folds_used,inner_folds_skipped,c_rebuilt,c_changed_by_rebuild,n_permutations,auroc_sd,auroc_min,auroc_max
662,270,392,0.937037037037037,0.9740740740740741,0.9437074829931973,0.9718537414965986,0.9967970521541951,0.02295918367346939,0.005,0.058823529411764705,0.02295918367346939,0.04790419161676647,0.0,0.0136986301369863,holdout_model_DeepSeek,main+M02,full,0.1,0.9963,23,зарегистрирован до прогона,3,3,,0.01,1,,,,
,,,,,,,0.38278155706727135,,,,,,,,holdout_model_DeepSeek,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.29487878461264194,0.001729024943310657,0.9257086167800452
661,269,392,0.8847583643122676,0.9628252788104089,0.9154291685285876,0.957979288369623,0.9902226689932478,0.03571428571428571,0.011337868480725623,0.08651399491094147,0.03571428571428571,0.059880239520958084,0.006578947368421052,0.0410958904109589,holdout_model_NVIDIA,main,full,0.1,0.9985,22,зарегистрирован до прогона,3,3,,0.1,0,,,,
661,269,392,0.14869888475836432,0.3754646840148699,0.42903348102181654,0.6715158182232001,0.8813822926940293,0.05102040816326531,0.022792022792022793,0.10135135135135136,0.05102040816326531,0.0658682634730539,0.03289473684210526,0.0547945205479452,holdout_model_NVIDIA,main,net,0.1,0.9951,18,зарегистрирован до прогона,3,3,,0.1,0,,,,
661,269,392,0.0,0.0,-0.362597150014831,0.3156816629997724,0.2957192170548517,0.673469387755102,0.4444444444444444,0.8931297709923665,0.673469387755102,0.31736526946107785,0.9407894736842105,0.9315068493150684,holdout_model_NVIDIA,length-only,full,10.0,0.6202,4,зарегистрирован до прогона,3,3,,10.0,0,,,,
661,269,392,0.6654275092936803,0.6654275092936803,-0.4792587979067923,0.33271375464684017,0.6654275092936803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_NVIDIA,genre-only,full,0.01,0.9063,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
661,269,392,0.0037174721189591076,0.0037174721189591076,0.0,0.5,0.5018587360594795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_NVIDIA,source-only,full,0.1,0.5019,24,зарегистрирован до прогона,3,3,,0.1,0,,,,
661,269,392,0.9739776951672863,0.9814126394052045,0.9561205523101434,0.9780602761550716,0.9933616569304301,0.017857142857142856,0.005319148936170213,0.04093567251461988,0.017857142857142856,0.03592814371257485,0.0,0.0136986301369863,holdout_model_NVIDIA,format-only,full,1.0,0.9753,4,зарегистрирован до прогона,3,3,,1.0,0,,,,
661,269,392,0.9070631970260223,0.966542750929368,0.9247084548648956,0.9618058189818679,0.9929823230407404,0.02806122448979592,0.006993006993006993,0.0684931506849315,0.02806122448979592,0.041916167664670656,0.006578947368421052,0.0410958904109589,holdout_model_NVIDIA,main+M02,full,0.1,0.9987,23,зарегистрирован до прогона,3,3,,0.1,0,,,,
,,,,,,,0.12792561262423183,,,,,,,,holdout_model_NVIDIA,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.28776402655706246,0.004798573704574766,0.9740535619452242
662,270,392,0.9518518518518518,0.9851851851851852,0.9501513013532275,0.9761337868480726,0.9973450491307634,0.025510204081632654,0.007594936708860759,0.05660377358490566,0.025510204081632654,0.041916167664670656,0.013157894736842105,0.0136986301369863,holdout_model_OpenAI,main,full,0.1,0.9969,22,зарегистрирован до прогона,3,3,,0.1,0,,,,
662,270,392,0.8481481481481481,0.9629629629629629,0.8970738285016177,0.9531746031746031,0.9937641723356008,0.07142857142857142,0.04329004329004329,0.12195121951219512,0.07142857142857142,0.08383233532934131,0.046052631578947366,0.0958904109589041,holdout_model_OpenAI,main,net,0.01,0.9574,18,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.007407407407407408,0.007407407407407408,0.036587088538008974,0.5180744520030234,0.42459372637944065,0.6045918367346939,0.3537117903930131,0.8388429752066116,0.6045918367346939,0.17964071856287425,0.9407894736842105,0.8767123287671232,holdout_model_OpenAI,length-only,full,0.01,0.6498,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.6666666666666666,0.6666666666666666,-0.47795211939924326,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_OpenAI,genre-only,full,0.01,0.9062,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
662,270,392,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_OpenAI,source-only,full,0.01,0.5019,24,зарегистрирован до прогона,3,3,,1.0,1,,,,
662,270,392,0.7111111111111111,0.9481481481481482,0.7700291405413473,0.8627173091458806,0.9663784958427816,0.015306122448979591,0.0033783783783783786,0.03865979381443299,0.015306122448979591,0.029940119760479042,0.0,0.0136986301369863,holdout_model_OpenAI,format-only,full,10.0,0.9773,4,зарегистрирован до прогона,3,3,,10.0,0,,,,
662,270,392,0.9740740740740741,0.9851851851851852,0.9562169312169312,0.9781084656084655,0.9978552532123961,0.017857142857142856,0.0033222591362126247,0.045283018867924525,0.017857142857142856,0.029940119760479042,0.006578947368421052,0.0136986301369863,holdout_model_OpenAI,main+M02,full,0.1,0.9977,23,зарегистрирован до прогона,3,3,,0.1,0,,,,
,,,,,,,0.40518754724111866,,,,,,,,holdout_model_OpenAI,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.3334066959985859,0.010440287226001514,0.9675736961451247
752,360,392,0.9861111111111112,0.9972222222222222,0.9632402230470393,0.9820294784580499,0.9994260204081632,0.03316326530612245,0.012594458438287154,0.07142857142857142,0.03316326530612245,0.05389221556886228,0.013157894736842105,0.0273972602739726,holdout_prompt_P1,main,full,10.0,0.9955,22,зарегистрирован до прогона,3,3,,1.0,1,,,,
