document_id,origin_class,source,genre,in_current_registry,n_sentences,repeat_share,repeated_unique,max_multiplicity,longest_repeated_block,repeat_char_share,adjacent_share,glued_per_1000w,verdict
deepseek_pro_b037_P2_r1,A,deepseek_pro,commercial,1,48,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b037_P2_r2,A,deepseek_pro,commercial,1,53,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b037_P3_r1,A,deepseek_pro,commercial,1,127,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b037_P3_r2,A,deepseek_pro,commercial,1,95,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b038_P1_r1,A,deepseek_pro,commercial,1,108,0.0,0,1,0,0.0,0.0,0.591716,
deepseek_pro_b038_P1_r2,A,deepseek_pro,commercial,1,109,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b038_P2_r1,A,deepseek_pro,commercial,1,52,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b038_P2_r2,A,deepseek_pro,commercial,1,43,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b038_P3_r1,A,deepseek_pro,commercial,1,92,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b038_P3_r2,A,deepseek_pro,commercial,1,78,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b039_P1_r1,A,deepseek_pro,commercial,1,64,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b039_P1_r2,A,deepseek_pro,commercial,1,99,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b039_P2_r1,A,deepseek_pro,commercial,1,37,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b039_P2_r2,A,deepseek_pro,commercial,1,69,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b039_P3_r1,A,deepseek_pro,commercial,1,121,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b039_P3_r2,A,deepseek_pro,commercial,1,56,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b040_P1_r1,A,deepseek_pro,commercial,1,87,0.0,0,1,0,0.0,0.0,1.43472,
deepseek_pro_b040_P1_r2,A,deepseek_pro,commercial,1,71,0.0,0,1,0,0.0,0.0,0.0,
