document_id,transform_number,origin_class,generation_channel,nll_baseline,nll_transformed,delta_nll,scored_tokens,n_windows,status
human_hard_rusltc_0001,13,H,,3.121580,3.182431,0.060851,1075,2,ok
human_hard_rusltc_0002,13,H,,2.809068,2.957708,0.148640,1369,2,ok
human_hard_rusltc_0003,13,H,,3.290485,3.421617,0.131132,2444,4,ok
human_hard_rusltc_0055,13,H,,2.648841,2.763964,0.115123,1118,2,ok
human_hard_rusltc_0068,13,H,,2.655230,2.748425,0.093195,1414,2,ok
human_hard_rusltc_0073,13,H,,3.063622,3.181828,0.118206,2270,4,ok
human_news_buriy_2014_0027,13,H,,2.947762,3.036046,0.088284,1180,2,ok
human_news_buriy_2014_0034,13,H,,2.498666,2.651513,0.152847,1822,3,ok
human_news_gazeta_0031,13,H,,2.431371,2.604831,0.173460,1348,2,ok
human_news_gazeta_0040,13,H,,2.576308,2.734823,0.158515,1241,2,ok
human_news_lenta_0001,13,H,,2.672448,2.804478,0.132030,1071,2,ok
human_news_lenta_0016,13,H,,2.354553,2.509878,0.155325,1694,3,ok
human_prose_taiga_arzamas_0050,13,H,,2.864683,2.989374,0.124691,2380,4,ok
human_prose_taiga_arzamas_0051,13,H,,2.834851,3.009693,0.174842,2446,4,ok
human_prose_taiga_magazines_0048,13,H,,3.268327,3.371755,0.103428,6216,12,ok
human_prose_taiga_magazines_0053,13,H,,3.980711,4.018532,0.037821,1344,2,ok
human_prose_taiga_proza_0034,13,H,,2.506692,2.613296,0.106604,1183,2,ok
human_prose_taiga_proza_0056,13,H,,3.359663,3.490979,0.131316,1877,3,ok
human_science_cyberleninka_0026,13,H,,2.455090,2.570664,0.115574,3209,6,ok
human_science_cyberleninka_0031,13,H,,2.320432,2.451159,0.130727,2020,3,ok
human_science_cyberleninka_0032,13,H,,2.172165,2.322414,0.150249,2104,4,ok
human_science_cyberleninka_0053,13,H,,2.257457,2.337366,0.079909,7165,13,ok
human_science_spbgu_0024,13,H,,2.412085,2.476423,0.064338,5533,10,ok
human_science_urfu_0028,13,H,,2.470474,2.618959,0.148485,7828,15,ok
human_seo_alaev_0004,13,H,,3.119545,3.226397,0.106852,3341,6,ok
human_seo_convertmonster_0001,13,H,,2.423620,2.572374,0.148754,922,1,ok
human_seo_devaka_ru_0004,13,H,,3.158421,3.219287,0.060866,1568,3,ok
human_seo_drmax_0002,13,H,,3.434824,3.557601,0.122777,3349,6,ok
human_seo_drmax_su_0001,13,H,,3.052851,3.154516,0.101665,1078,2,ok
