n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,n_permutations,auroc_sd,auroc_min,auroc_max
689,269,420,0.6654275092936803,0.6654275092936803,-0.4843467040360739,0.33271375464684017,0.6654275092936803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_NVIDIA,genre-only,full,0.01,0.9053,4,зарегистрирован до прогона,,,,
689,269,420,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_NVIDIA,source-only,full,1.0,0.5024,24,зарегистрирован до прогона,,,,
689,269,420,0.9739776951672863,0.9814126394052045,0.9573110285006196,0.9786555142503097,0.9930695698353692,0.016666666666666666,0.005050505050505051,0.039285714285714285,0.016666666666666666,0.03592814371257485,0.0,0.0136986301369863,holdout_model_NVIDIA,format-only,full,1.0,0.9746,4,зарегистрирован до прогона,,,,
689,269,420,0.8587360594795539,0.9591078066914498,0.897142212398623,0.9508364312267658,0.9876792352628784,0.05,0.011560693641618497,0.10311750599520383,0.05,0.041916167664670656,0.06111111111111111,0.0410958904109589,holdout_model_NVIDIA,main+M02,full,0.1,0.9987,23,зарегистрирован до прогона,,,,
,,,,,,,0.13164232607541157,,,,,,,,holdout_model_NVIDIA,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.2871145048047928,0.0032218091697645613,0.9713046556912728
690,270,420,0.9222222222222223,0.9851851851851852,0.9333141291634655,0.9678571428571429,0.9955114638447972,0.030952380952380953,0.010568031704095112,0.06609195402298851,0.030952380952380953,0.04790419161676647,0.022222222222222223,0.0136986301369863,holdout_model_OpenAI,main,full,0.1,0.9962,22,зарегистрирован до прогона,,,,
690,270,420,0.8518518518518519,0.9555555555555556,0.880918894988359,0.9472222222222222,0.9930776014109348,0.08333333333333333,0.054924242424242424,0.13425925925925927,0.08333333333333333,0.09580838323353294,0.06111111111111111,0.1095890410958904,holdout_model_OpenAI,main,net,0.01,0.9559,18,зарегистрирован до прогона,,,,
690,270,420,0.007407407407407408,0.007407407407407408,-0.0005316831676201084,0.4997354497354497,0.40467372134038804,0.6190476190476191,0.3475609756097561,0.8519553072625698,0.6190476190476191,0.16167664670658682,0.9444444444444444,0.863013698630137,holdout_model_OpenAI,length-only,full,0.01,0.6422,4,зарегистрирован до прогона,,,,
690,270,420,0.6666666666666666,0.6666666666666666,-0.48304589153964794,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_OpenAI,genre-only,full,0.01,0.9052,4,зарегистрирован до прогона,,,,
690,270,420,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_model_OpenAI,source-only,full,0.1,0.5,24,зарегистрирован до прогона,,,,
690,270,420,0.7333333333333333,0.9481481481481482,0.7747453340150439,0.8632275132275132,0.965895061728395,0.014285714285714285,0.0030627871362940277,0.03734439834024896,0.014285714285714285,0.029940119760479042,0.0,0.0136986301369863,holdout_model_OpenAI,format-only,full,10.0,0.9762,4,зарегистрирован до прогона,,,,
690,270,420,0.9481481481481482,0.9851851851851852,0.9424946211254087,0.9727513227513227,0.9962874779541446,0.02857142857142857,0.00683371298405467,0.061465721040189124,0.02857142857142857,0.03592814371257485,0.027777777777777776,0.0136986301369863,holdout_model_OpenAI,main+M02,full,0.1,0.9972,23,зарегистрирован до прогона,,,,
,,,,,,,0.41457363315696644,,,,,,,,holdout_model_OpenAI,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.3305821677197291,0.051710758377425045,0.9385185185185185
780,360,420,0.9722222222222222,0.9972222222222222,0.9326227919107598,0.9676587301587302,0.9976984126984128,0.06190476190476191,0.02509907529722589,0.11670480549199085,0.06190476190476191,0.08383233532934131,0.05555555555555555,0.0273972602739726,holdout_prompt_P1,main,full,1.0,0.9944,22,зарегистрирован до прогона,,,,
780,360,420,0.5888888888888889,0.8611111111111112,0.8406746349544472,0.9210317460317461,0.9750661375661376,0.08571428571428572,0.0532724505327245,0.14249363867684478,0.08571428571428572,0.09580838323353294,0.06666666666666667,0.1095890410958904,holdout_prompt_P1,main,net,0.01,0.9743,18,зарегистрирован до прогона,,,,
780,360,420,0.005555555555555556,0.005555555555555556,-0.17904622994554578,0.4103174603174603,0.4073941798941799,0.6071428571428571,0.32382892057026474,0.8461538461538461,0.6071428571428571,0.12574850299401197,0.95,0.863013698630137,holdout_prompt_P1,length-only,full,0.01,0.613,4,зарегистрирован до прогона,,,,
780,360,420,0.6666666666666666,0.6666666666666666,-0.4605661864718383,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_prompt_P1,genre-only,full,0.01,0.8835,4,зарегистрирован до прогона,,,,
780,360,420,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_prompt_P1,source-only,full,10.0,0.5031,25,зарегистрирован до прогона,,,,
780,360,420,0.9388888888888889,0.9777777777777777,0.9337102733603361,0.9646825396825397,0.9900727513227515,0.009523809523809525,0.0,0.030303030303030304,0.009523809523809525,0.017964071856287425,0.0,0.0136986301369863,holdout_prompt_P1,format-only,full,1.0,0.9666,4,зарегистрирован до прогона,,,,
780,360,420,0.9833333333333333,0.9972222222222222,0.949613054492941,0.9759920634920636,0.9974603174603175,0.04523809523809524,0.011904761904761904,0.0891891891891892,0.04523809523809524,0.04790419161676647,0.05555555555555555,0.0136986301369863,holdout_prompt_P1,main+M02,full,0.1,0.9944,23,зарегистрирован до прогона,,,,
,,,,,,,0.36170767195767195,,,,,,,,holdout_prompt_P1,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.3113647833822474,0.0018452380952380912,0.878670634920635
780,360,420,1.0,1.0,0.9305801316615883,0.9666666666666667,0.9994378306878308,0.06666666666666667,0.02689075630252101,0.12418300653594772,0.06666666666666667,0.08383233532934131,0.06111111111111111,0.0410958904109589,holdout_prompt_P2,main,full,1.0,0.9934,22,зарегистрирован до прогона,,,,
780,360,420,0.6916666666666667,0.9222222222222223,0.8681951145448772,0.9353174603174603,0.9848148148148148,0.10714285714285714,0.07017543859649122,0.17681159420289855,0.10714285714285714,0.1437125748502994,0.07222222222222222,0.1095890410958904,holdout_prompt_P2,main,net,0.01,0.9598,18,зарегистрирован до прогона,,,,
780,360,420,0.0,0.0,0.33434234778930344,0.623015873015873,0.3941402116402116,0.7261904761904762,0.5176056338028169,0.9049881235154394,0.7261904761904762,0.3592814371257485,0.9666666666666667,0.9726027397260274,holdout_prompt_P2,length-only,full,0.01,0.565,4,зарегистрирован до прогона,,,,
